23 September 2019 20:28:56 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 55
#################
23 September 2019 20:29:12 | Номер: Исключение | Текс: Call to undefined function int() | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 55
#################
23 September 2019 20:29:14 | Номер: Исключение | Текс: Call to undefined function int() | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 55
#################
23 September 2019 20:29:51 | Номер: Исключение | Текс: Call to undefined function int() | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 55
#################
23 September 2019 20:31:27 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 44
#################
23 September 2019 20:40:35 | Номер: 8 | Текс: Undefined variable: symbol_right | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 64
#################
23 September 2019 20:41:22 | Номер: 8 | Текс: Undefined variable: symbol_right | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 64
#################
23 September 2019 20:41:53 | Номер: 8 | Текс: Undefined variable: symbol_right | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 64
#################
23 September 2019 20:42:01 | Номер: 8 | Текс: Undefined variable: symbol_right | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 64
#################
23 September 2019 20:42:59 | Номер: Исключение | Текс: syntax error, unexpected ')' | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 66
#################
23 September 2019 20:43:31 | Номер: Исключение | Текс: syntax error, unexpected ')' | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 66
#################
24 September 2019 18:28:01 | Номер: 8 | Текс: unserialize(): Error at offset 0 of 72 bytes | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Cache.php | Линия: 23
#################
24 September 2019 18:28:37 | Номер: 8 | Текс: unserialize(): Error at offset 0 of 72 bytes | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Cache.php | Линия: 23
#################
24 September 2019 18:29:57 | Номер: 8 | Текс: Undefined variable: content | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Cache.php | Линия: 25
#################
24 September 2019 18:34:57 | Номер: 8 | Текс: unserialize(): Error at offset 0 of 72 bytes | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Cache.php | Линия: 24
#################
24 September 2019 18:34:58 | Номер: 8 | Текс: unserialize(): Error at offset 0 of 72 bytes | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Cache.php | Линия: 24
#################
24 September 2019 18:35:29 | Номер: 8 | Текс: Array to string conversion | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 22
#################
24 September 2019 18:35:30 | Номер: 8 | Текс: Array to string conversion | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 22
#################
24 September 2019 18:35:30 | Номер: 8 | Текс: Array to string conversion | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 22
#################
24 September 2019 18:35:44 | Номер: 8 | Текс: Array to string conversion | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 22
#################
24 September 2019 18:36:04 | Номер: 8 | Текс: Array to string conversion | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 22
#################
24 September 2019 18:36:05 | Номер: 8 | Текс: Array to string conversion | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 22
#################
24 September 2019 18:36:05 | Номер: 8 | Текс: Array to string conversion | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 22
#################
24 September 2019 18:36:05 | Номер: 8 | Текс: Array to string conversion | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 22
#################
24 September 2019 18:36:05 | Номер: 8 | Текс: Array to string conversion | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 22
#################
24 September 2019 20:53:30 | Номер: 8 | Текс: Undefined variable: cats | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 34
#################
26 September 2019 18:41:33 | Номер: 8 | Текс: Undefined variable: class_child | Файл: C:\OSPanel\domains\fw.loc\public\menu\menu.php | Линия: 5
#################
26 September 2019 18:45:36 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Router.php | Линия: 62
#################
26 September 2019 18:48:31 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Router.php | Линия: 62
#################
26 September 2019 18:55:19 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Router.php | Линия: 62
#################
26 September 2019 18:57:39 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:39:13 | Номер: Исключение | Текс: syntax error, unexpected '?>' | Файл: C:\OSPanel\domains\Framework\app\views\Main\index.php | Линия: 61
#################
02 October 2019 17:50:08 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:50:45 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:50:45 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:50:51 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:52:12 | Номер: Исключение | Текс: Класс app\controllers\ProductControllerне найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:52:13 | Номер: Исключение | Текс: Класс app\controllers\ProductControllerне найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:52:40 | Номер: Исключение | Текс: Класс app\controllers\ProductController не найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:53:47 | Номер: Исключение | Текс: Класс app\controllers\ProductController не найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:53:49 | Номер: Исключение | Текс: Класс app\controllers\ProductController не найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:53:52 | Номер: Исключение | Текс: Класс app\controllers\ProductController не найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 62
#################
02 October 2019 17:54:10 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 57
#################
02 October 2019 17:54:12 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 57
#################
02 October 2019 17:54:12 | Номер: Исключение | Текс: произошла ошибка | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 57
#################
02 October 2019 17:55:04 | Номер: Исключение | Текс: viewAction не найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\Router.php | Линия: 57
#################
02 October 2019 17:55:40 | Номер: Исключение | Текс: Class 'fw\core\base\Exception' not found | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\base\View.php | Линия: 30
#################
02 October 2019 17:57:12 | Номер: Исключение | Текс: Class 'fw\core\base\Exception' not found | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\base\View.php | Линия: 30
#################
02 October 2019 17:58:30 | Номер: Исключение | Текс: Такой вид не найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\base\View.php | Линия: 30
#################
02 October 2019 18:00:12 | Номер: Исключение | Текс: Такой вид не найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\base\View.php | Линия: 31
#################
02 October 2019 18:00:14 | Номер: Исключение | Текс: Такой вид не найден | Файл: C:\OSPanel\domains\Framework\vendor\fw\core\base\View.php | Линия: 31
#################
